"Subject","Activity","TrainingLabel","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-meanFreq()-X","fBodyAcc-meanFreq()-Y","fBodyAcc-meanFreq()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyAccMag-meanFreq()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-meanFreq()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-meanFreq()","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-std()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-std()"
1,"LAYING",5.02,0.25427141408,-0.0196165297773333,-0.1095710039,0.510755553173333,0.202777936126667,0.257412939220667,0.07793978548,0.0039035073916,0.00125404901062667,-0.0282030486619333,-0.071285294656,0.0957112435466667,-0.100305110917333,-0.0420076485433333,-0.0566127233173333,-0.925629543766667,-0.925629543766667,-0.978142822133333,-0.928293969666667,-0.983527862933333,-0.971642248466667,-0.930066593726667,-0.942905198866667,-0.0378763895268667,0.0978172798226667,0.191162611366667,-0.979594576733333,-0.963230378533333,-0.975049369,0.235555727704,0.0369054617006667,0.0860442652713333,-0.937803647995333,-0.972601096066667,-0.947719614333333,0.0155821474297333,-0.0265306792026667,0.0297017778026667,-0.9323871127,0.20349762738,-0.970513928733333,0.3482285108,-0.9356047734,-0.0567811956996,-0.975760313533333,0.234914645946667,-0.9673857442,-0.911890129606667,-0.915944981609333,-0.9535228332,-0.942401851586667,-0.926456091606667,-0.980002598466667,-0.963808859133333,-0.978425838333333,-0.94618197914,-0.968858136066667,-0.944236464266667,-0.967786010266667,-0.984300140133333,-0.9793615976,-0.902486027353333,-0.902486027353333,-0.968666811,-0.91162717672,-0.973089473533333,-0.9660183516,-0.908831583433333,-0.909302146413333,-0.982394102733333,-0.9673400886,-0.980505542733333,-0.9494244602,-0.9673901936,-0.9483837762,-0.904097229,-0.965533982,-0.912586649493333,-0.971612899466667
1,"WALKING",1,0.277330758736842,-0.0173838185273684,-0.111148103547368,0.935223201473684,-0.282165021263158,-0.068102864,0.0740416333157895,0.0282721095884211,-0.00416840617789474,-0.041830963526,-0.0695300462115789,0.0849448173042105,-0.0899975423705263,-0.0398428709463158,-0.0461309295021053,-0.136971176556842,-0.136971176556842,-0.141428809031579,-0.160979552536842,-0.298703679084211,-0.202794306326316,0.0897127264021053,-0.331560117789474,-0.207548374494737,0.113093646103158,0.0497265196172632,-0.170546964549579,-0.0352255241130632,-0.468999224631579,-0.209261973376842,-0.386237143210526,-0.185530281244211,-0.339032197115789,-0.103059416434737,-0.255940940315789,0.0147844986621053,-0.0657746190010526,0.00077332156431579,-0.128623450629474,0.1906437244,-0.0571194000343158,0.0938221807027368,-0.199252568986316,0.268844367525895,-0.319308593778947,0.190663448793684,-0.283740258842105,0.114461336747368,-0.260027902210526,-0.976609642526316,-0.971305961473684,-0.947717226105263,-0.113615602435789,0.0670025007684211,-0.502699788526316,-0.473535485894737,-0.0546077686594737,-0.344266629473684,-0.207421854757895,-0.304468510631579,-0.404255452631579,-0.219688645631579,-0.219688645631579,-0.0744717500625263,-0.186978364526316,-0.325324878894737,-0.319134719578947,0.056040006846,-0.279686751494737,-0.133586606326316,0.106739857136,-0.534713440421053,-0.516691938736842,-0.0335081597884211,-0.436562227473684,-0.398032586842105,-0.103492403002105,-0.321017953894737,-0.381601911789474
1,"WALKING_DOWNSTAIRS",3,0.289188320408163,-0.00991850461020408,-0.107566190908163,0.931874418979592,-0.266610338979592,-0.0621199585938775,0.0541553164897959,0.0296504490408163,-0.0109719730183673,-0.0350781902989796,-0.0909371290204082,0.0900850142030612,-0.0739592036271429,-0.0439902783367347,-0.0270461061061224,0.0271882914106122,0.0271882914106122,-0.0894474807979592,-0.0757412543673469,-0.295463843346939,0.0382291831510204,0.00154990783591837,-0.225574471693878,-0.307395198687755,0.0632200839346939,0.294322700810612,-0.0276638676122449,-0.12866715764898,-0.288334735714286,-0.253164344918367,-0.33758970122449,0.00937223889183673,-0.352449631363265,-0.0557022524693878,-0.0318694271979592,-0.100453729040816,0.0825511487183673,-0.0756762067714286,0.0965845343040816,0.119187142767959,0.0262184949326531,0.0764915474326531,-0.185720285744898,0.349613895469388,-0.281963359177551,0.190000706165102,0.0300353383483878,-0.0319359434489796,-0.230434213204082,-0.950559811632653,-0.937018658979592,-0.895939695102041,-0.012283860544898,-0.101601390640816,-0.345735032326531,-0.458030542938775,-0.126349194938775,-0.124702454242857,-0.487027342244898,-0.238824827530612,-0.268761480242857,0.0198843506265306,0.0198843506265306,-0.0257877197081633,-0.225724368061224,-0.306510645530612,0.0243308391387755,-0.112963739953061,-0.297927894693878,-0.0863278966402041,-0.134580008877551,-0.401721464285714,-0.495422486102041,-0.181414728657143,-0.238443565306122,-0.186530301073469,-0.104052260726531,-0.398350390122449,-0.391919876612245
1,"WALKING_UPSTAIRS",2,0.255461689622641,-0.0239531492643396,-0.0973020020943396,0.89335109754717,-0.362153364339623,-0.075402939754717,0.101372729922642,0.0194863076188679,-0.0455625449113208,0.050549379754717,-0.166170015088679,0.0583595463981132,-0.122232768011321,-0.0421485884509434,-0.0407125527654717,-0.129927630735849,-0.129927630735849,-0.466503446226415,-0.126735589969811,-0.59488286509434,-0.404321784150943,-0.190976720811321,-0.433349702075472,-0.418735000377359,-0.160697213516981,-0.520114793584906,-0.479875245660377,-0.41344458754717,-0.685474353962264,-0.377023128301887,-0.509495531698113,-0.551104284150943,-0.492611667924528,-0.319474609056604,-0.453597213018868,-0.187450247737736,-0.473574786603774,-0.133373904258491,-0.352395944716981,-0.0977433496415094,-0.44265216245283,0.085352409154717,-0.325961457396226,-0.219303376110566,-0.634665082075472,0.114277342454717,-0.35470802509434,-0.00232026501698113,-0.0194792388471698,-0.956367027924528,-0.952849233207547,-0.912379410377358,-0.446843887735849,-0.378274426037736,-0.706593530943396,-0.544871104528302,0.00410518379811321,-0.50716867490566,-0.614786508490566,-0.601696656226415,-0.606332002264151,-0.324970929245283,-0.324970929245283,-0.478991622075472,-0.14861931805283,-0.648553044339623,-0.337428188679245,0.0217695106566038,0.0859565543849057,-0.461907025849057,-0.381777065283019,-0.726040200754717,-0.565892490754717,0.151538905566038,-0.57170784,-0.416260101509434,-0.533059853773585,-0.182985518264151,-0.693930521509434
2,"LAYING",5.01351351351351,0.278778115337838,-0.0174864316135135,-0.107370883648649,0.45424252527027,0.0762121076557838,0.318890893844595,0.0765232612432432,0.0113783525788514,-0.0012752793202027,-0.0288317331543919,-0.0848195970635135,0.0918510276662162,-0.100690713966216,-0.0399599166905405,-0.0562485549648649,-0.970251822837838,-0.970251822837838,-0.984794921554054,-0.953684809527027,-0.9887025075,-0.982181780337838,-0.965549423851351,-0.971967511081081,0.0185657539605405,0.152872012753986,0.198523734024324,-0.984680093513513,-0.976670774324324,-0.983522006621622,0.26773117974977,0.0266931307677027,0.105144767306757,-0.978170829797297,-0.979021576013513,-0.961038027162162,0.0346550030898649,-0.108457796258784,0.0307442791350676,-0.966774992162162,0.170718821500676,-0.981876483918919,0.309124079728378,-0.96825668222973,-0.0511638635283784,-0.985604581959459,0.205023537964865,-0.982847035067568,-0.962703996756757,-0.964063203513513,-0.9756298,-0.973318789121622,-0.960988192432432,-0.984804473175676,-0.9771402275,-0.986111436081081,-0.981913989662162,-0.977284887027027,-0.961810455405405,-0.987063728783784,-0.987745378783784,-0.981997383716216,-0.961249610540541,-0.961249610540541,-0.981967721081081,-0.958575971891892,-0.985114013310811,-0.983402274662162,-0.962970778648649,-0.962115744189189,-0.986388912837838,-0.979503259391892,-0.987373172702703,-0.983161234594595,-0.976527303986486,-0.965683358040541,-0.963718587297297,-0.980997735608108,-0.959615254391892,-0.985253335202703
2,"WALKING",1,0.276426586440678,-0.0185949199145763,-0.105500357966102,0.91301733338983,-0.34660709,0.0847270871186441,0.0618080696279661,0.0182492679288136,0.00789533706610169,-0.0530258157347458,-0.0482382316949153,0.0828336633220339,-0.0818833429152542,-0.0538299449067797,-0.0514939156830508,-0.290407593728814,-0.290407593728814,-0.281424153881356,-0.446549092881356,-0.547911950338983,-0.346048161016949,-0.0219048103322034,-0.453806369830508,-0.14579548970339,0.198586466508475,0.0688995208186441,-0.304615322881356,-0.0787640836610169,-0.554956709661017,-0.0727101584479661,-0.263574018186441,-0.254846438755932,-0.429713536101695,-0.55477211220339,-0.396659907457627,0.00727967988474576,-0.0427009322372881,0.139752115269492,-0.324289427932203,0.393206208305085,-0.169064352813559,0.20750092670339,-0.530704814745763,0.305283825254237,-0.583249293389831,0.126344614439492,-0.423642838474576,-0.0780912533118644,-0.425257524915254,-0.972693201355932,-0.972116879661017,-0.972072847627119,-0.277530462620339,-0.0166022362847458,-0.586090418983051,-0.561550255762712,-0.53845366779661,-0.481085535084746,-0.389549831525424,-0.634140436101695,-0.435492677288136,-0.422544169322034,-0.422544169322034,-0.164150985127119,-0.553019916271186,-0.557798151355932,-0.457651383728814,-0.16921968620339,-0.455222146440678,-0.31431306340678,-0.0153329520084746,-0.615898188474576,-0.604053019152542,-0.533046952542373,-0.559856635084746,-0.577105211694915,-0.164091969449153,-0.651792839661017,-0.558104554745763
2,"WALKING_DOWNSTAIRS",3,0.27761534806383,-0.0226614158361702,-0.116812942382979,0.861831345531915,-0.325780100638298,-0.0438890162723404,0.110040615569574,-0.00327959081489362,-0.0209351677765957,-0.11594735287234,-0.00482329231914894,0.097173808906383,-0.0581038498510638,-0.0421470257531915,-0.0710229816893617,0.0899511204978723,0.0899511204978723,0.00565516335106383,-0.162188586930426,-0.410872671489362,0.112841160325532,0.278345041765957,-0.131290772,-0.273711609659574,0.0119309606468085,0.0903678546504255,0.138120681087234,0.0962091607617021,-0.271498721106383,-0.143898149531915,-0.357514501744681,-0.234703932446809,-0.145775970406383,-0.361913824,-0.0874944736085106,-0.0375298023191489,0.0770894557234043,0.1367749584,0.293424826591489,0.0938321297617021,0.222247409576596,0.0188355111404255,-0.320838543553191,0.103971241706383,-0.380175306489362,-0.0512479640553192,0.0463666814446808,0.262881788951064,-0.10283790806383,-0.940361759574468,-0.940068525531915,-0.931438313191489,0.147249143238298,0.126828014557447,-0.340122023191489,-0.320789230008511,-0.415739144893617,-0.279418388042553,-0.243940592553192,-0.469396701106383,-0.218266318606383,0.215586334889362,0.215586334889362,0.22961718512766,-0.274844110531915,-0.343187875404255,0.0161046198595745,0.171973972957447,-0.162032894287234,0.0499590624829787,0.0808333491276596,-0.408227423191489,-0.379436674361702,-0.458732747446809,-0.422987665106383,-0.0214787881723404,0.227480732542553,-0.372576755361702,-0.343698985425532
2,"WALKING_UPSTAIRS",2,0.247164790395833,-0.0214121132045833,-0.152513899520833,0.790717418541667,-0.416214890416667,-0.195888238891667,0.0744507839572917,-0.00970985514333333,0.01948143925,-0.0576912634583333,-0.0320883097395833,0.0688374021666667,-0.0828858001333333,-0.0424053708458333,-0.0445157481625,-0.107322679520833,-0.107322679520833,-0.321268911041667,-0.219713472958333,-0.572816438541667,-0.266720933270833,0.00992445881854167,-0.281001986202083,-0.281748011416667,-0.0618894458958333,-0.236589092316958,-0.258639439729167,-0.1878421317125,-0.522728063333333,-0.0491142923541667,-0.287688885375,-0.374218484791667,-0.331643577458333,-0.488086123958333,-0.248601122,-0.115324433733333,-0.130357850675,-0.0773418117291667,-0.14531853915625,0.107680395229167,-0.189511136902083,-0.0119168233583333,-0.450612184791667,-0.022752769044375,-0.60079849625,0.0467433991041667,-0.304376406458333,0.108027279889583,-0.112121021220833,-0.934407739791667,-0.92376745375,-0.878004056875,-0.276121886479167,-0.185648954220833,-0.5737463525,-0.439253058958333,-0.466298336666667,-0.163995791679167,-0.464854363125,-0.645491337708333,-0.467595961041667,-0.205977045295833,-0.205977045295833,-0.21738939458125,-0.377532167604167,-0.597291719166667,-0.320582414375,0.0848802791083333,-0.09454497643125,-0.365415441458333,-0.243554146666667,-0.625090981458333,-0.476358845625,-0.459758488958333,-0.218072471479167,-0.36672824375,-0.2604238389625,-0.438620401875,-0.621820202916667
3,"LAYING",5.05714285714286,0.271652327628571,-0.0127543141194286,-0.100538094531554,0.508028566,0.2291995597188,0.223081241599429,0.0750230545879429,0.00839019567485714,-0.00561490134948857,-0.0274227168385714,-0.0682079899022857,0.100015222810057,-0.100899092257143,-0.0410003018651429,-0.0564148109861143,-0.933281586457143,-0.933281586457143,-0.969358732571429,-0.921262241485714,-0.975627675314286,-0.970381866685714,-0.9220819348,-0.943325352857143,-0.0472344798468571,0.0378408614634286,0.0937824182725714,-0.970896661142857,-0.955616316057143,-0.973195595828571,0.152577534433943,-0.123157894737714,-0.0362883839373143,-0.9424069816,-0.9575062028,-0.938114629885714,-0.117214826313143,-0.168943804446857,-0.0390548336893714,-0.933858672342857,0.0922137944628,-0.963436416971429,0.215006082824571,-0.941517589314286,-0.150446443142286,-0.9740353592,0.057935269328,-0.973691274514286,-0.906812009885714,-0.919149332571429,-0.974856422228571,-0.949951494514286,-0.932104071371429,-0.970680558114286,-0.954810235371429,-0.9767360872,-0.9460150884,-0.950391131142857,-0.934657540971429,-0.9642857788,-0.977958947828571,-0.9717596224,-0.919205467771429,-0.919205467771429,-0.963743414228571,-0.920580781645714,-0.9723730216,-0.975303795485714,-0.905111170914286,-0.913491129314286,-0.9732295556,-0.9572662944,-0.978935935885714,-0.947822652457143,-0.947122380171429,-0.9398127052,-0.924287411085714,-0.963263596914286,-0.921431991817143,-0.971951472457143
3,"WALKING",1,0.275567462068966,-0.0171767844203448,-0.112674859827586,0.936506743275862,-0.261986357931034,-0.138107866258621,0.0814745882660345,0.0100591485,-0.00562264594827586,-0.0256405192517241,-0.0779150937413793,0.0813485942827586,-0.0952398165017241,-0.0387874651724138,-0.0503616100815517,-0.254690333275862,-0.254690333275862,-0.280009317413793,-0.466411754137931,-0.566135217931034,-0.316614011689655,-0.0813024353275862,-0.412374074482759,-0.246614196618966,0.171743003017241,0.0748536557377586,-0.304694442551724,-0.140508590224138,-0.514137255344828,-0.216042668103448,-0.258667984862069,-0.346946648103448,-0.437845763793103,-0.561526265344828,-0.418126217413793,0.0337596901293103,-0.0379896505362069,-0.0445079738913793,-0.290031535172414,0.113494312836207,-0.186764516965517,-0.11716398312069,-0.569755772241379,0.180946463034483,-0.607751646034483,0.0457622957586207,-0.360356726034483,-0.0699140652103448,-0.387411994310345,-0.97777159137931,-0.962355639482759,-0.952091795,-0.26867964387931,-0.0449619594258621,-0.52948611637931,-0.571869560172414,-0.563793260172414,-0.476696411551724,-0.385922986034483,-0.639087984137931,-0.536664080344828,-0.328428936551724,-0.328428936551724,-0.139916355325862,-0.561510683275862,-0.567371560862069,-0.379276781206897,-0.124030832001724,-0.422998473965517,-0.296596633103448,-0.00561498755362069,-0.543529108103448,-0.615121369827586,-0.568888673448276,-0.545896388103448,-0.456373080862069,-0.0898519904044828,-0.632643292931034,-0.549087007931034
